Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"03-Apr-2024","12466","12534","12319","12400","1m","132.34m","12.41041k","5,665","1",
"02-Apr-2024","12611","12843","12427","12450","578k","72.51m","12.54828k","2,537","1",
"01-Apr-2024","0","0","0","12628","0","0","0","0","1",
"29-Mar-2024","0","0","0","12628","0","0","0","0","1",
"28-Mar-2024","12532","12698","12466","12628","528k","66.77m","12.63831k","2,427","1",
"27-Mar-2024","12481","12658","12440","12634","333k","41.88m","12.58148k","1,546","1",
"26-Mar-2024","12150","12503","12150","12481","441k","54.81m","12.43815k","1,821","1",
"25-Mar-2024","12507","12527","12190","12281","582k","71.49m","12.27307k","2,786","1",
"22-Mar-2024","11901","12500","11901","12452","395k","49.16m","12.43282k","1,515","1",
"21-Mar-2024","0","0","0","12159","0","0","0","0","1",
"20-Mar-2024","11943","12269","11933","12159","3m","319.48m","12.14217k","2,058","1",
"19-Mar-2024","11829","12084","11800","11808","680k","80.4m","11.83689k","2,215","1",
"18-Mar-2024","11970","12299","11824","11972","969k","116.47m","12.01206k","3,062","1",
"15-Mar-2024","11830","12240","11523","12240","6m","686.48m","12.19422k","6,245","1",
"14-Mar-2024","12259","12259","11905","11906","595k","71.32m","11.97678k","2,491","1",
"13-Mar-2024","12100","12190","11958","12002","573k","68.93m","12.03319k","2,455","1",
"12-Mar-2024","11924","12130","11924","12114","421k","50.88m","12.07143k","2,002","1",
"11-Mar-2024","12243","12245","11895","11929","626k","75.11m","11.98952k","2,221","1",
"08-Mar-2024","11901","12400","11850","12163","419k","50.68m","12.09727k","2,420","1",
"07-Mar-2024","12049","12154","11909","12120","1m","123.04m","12.06359k","3,742","1",
"06-Mar-2024","12040","12150","12003","12148","479k","58.02m","12.10006k","2,809","1",
"05-Mar-2024","11950","12199","11702","12028","488k","58.63m","12.02344k","3,281","1",
"04-Mar-2024","12165","12165","11964","12021","360k","43.31m","12.04126k","1,839","1",
"01-Mar-2024","11790","12116","11743","11981","1m","151.94m","12.01829k","2,884","1",
"29-Feb-2024","11895","12131","11807","11970","2m","198.86m","11.99k","4,416","1",
"28-Feb-2024","12057","12074","11834","11893","410k","48.89m","11.91312k","2,062","1",
"27-Feb-2024","12599","12599","12040","12070","590k","71.62m","12.13827k","2,668","1",
"26-Feb-2024","12975","12975","12383","12414","502k","62.33m","12.42324k","3,279","1",
"23-Feb-2024","12566","12623","12479","12594","317k","39.87m","12.56101k","1,645","1",
"22-Feb-2024","12490","12627","12374","12580","696k","87.07m","12.51418k","5,033","1",
"21-Feb-2024","12323","12419","12263","12351","333k","41.13m","12.34626k","1,547","1",
"20-Feb-2024","12359","12359","12209","12249","285k","35m","12.26639k","1,499","1",
"19-Feb-2024","12299","12436","12192","12364","465k","57.5m","12.36378k","2,479","1",
"16-Feb-2024","11800","12410","11800","12341","1m","138.58m","12.30108k","5,110","1",
"15-Feb-2024","11983","12153","11920","12128","597k","72.19m","12.08743k","2,768","1",
"14-Feb-2024","11734","12025","11724","12025","790k","94.19m","11.9761k","2,587","1",
"13-Feb-2024","12001","12016","11736","11800","265k","31.34m","11.8174k","1,645","1",
"12-Feb-2024","11902","12040","11795","12002","595k","71.22m","11.97169k","1,769","1",
"09-Feb-2024","11939","11998","11861","11938","357k","42.67m","11.93839k","1,979","1",
"08-Feb-2024","12038","12450","11903","11952","466k","55.95m","12.0187k","1,885","1",
"07-Feb-2024","12084","12084","11952","11952","396k","47.53m","12.00194k","2,068","1",
"06-Feb-2024","12076","12159","11943","12080","462k","55.61m","12.02617k","1,944","1",
"05-Feb-2024","12048","12251","12020","12020","478k","57.66m","12.06439k","1,913","1",
"02-Feb-2024","11901","12304","11901","12089","1m","167.42m","12.16983k","6,310","1",
"01-Feb-2024","12161","12365","12058","12140","839k","102.15m","12.17617k","4,742","1",
"31-Jan-2024","12500","12500","12290","12388","2m","232.29m","12.3869k","6,202","1",
"30-Jan-2024","12404","12502","12263","12400","1m","166.39m","12.42895k","8,469","1",
"29-Jan-2024","12300","12570","12108","12352","2m","259.81m","12.4289k","10,542","1",
"26-Jan-2024","11901","12291","11901","12108","2m","286.77m","12.17848k","7,307","1",
"25-Jan-2024","12391","12689","12068","12097","2m","248.68m","12.17382k","7,386","1",
"24-Jan-2024","12595","12653","12455","12474","425k","53.25m","12.51593k","2,455","1",
"23-Jan-2024","12596","12689","12492","12575","565k","71.09m","12.57259k","2,546","1",
"22-Jan-2024","12283","12660","12283","12614","412k","51.86m","12.57665k","1,880","1",
"19-Jan-2024","12414","12578","12303","12372","458k","56.95m","12.4364k","1,641","1",
"18-Jan-2024","12500","12510","12295","12393","568k","70.53m","12.41142k","1,936","1",
"17-Jan-2024","12616","12737","12267","12309","542k","67m","12.36791k","2,804","1",
"16-Jan-2024","12515","12908","12515","12779","795k","101.71m","12.78524k","3,736","1",
"15-Jan-2024","12515","12855","12515","12762","1m","166.8m","12.74785k","4,743","1",
"12-Jan-2024","12667","12701","12564","12671","403k","51.03m","12.65735k","1,702","1",
"11-Jan-2024","12444","12796","12441","12620","987k","124.34m","12.64115k","2,521","1",
"10-Jan-2024","12075","12458","12075","12381","454k","56.09m","12.35998k","2,238","1",
"09-Jan-2024","12522","12570","12344","12344","534k","66.28m","12.42651k","2,773","1",
"08-Jan-2024","12390","12545","12351","12477","240k","29.91m","12.45758k","1,599","1",
"05-Jan-2024","12261","12602","12261","12489","389k","48.27m","12.39622k","2,269","1",
"04-Jan-2024","12500","12579","12331","12579","466k","58.17m","12.47964k","2,361","1",
"03-Jan-2024","12565","12601","12302","12321","394k","48.68m","12.36282k","1,665","1",
"02-Jan-2024","12510","12738","12380","12496","257k","32.19m","12.51853k","1,305","1",
"01-Jan-2024","0","0","0","12595","0","0","0","0","1",
"29-Dec-2023","12572","12699","12557","12595","89k","11.16m","12.60354k","298","1",
"28-Dec-2023","12662","12785","12603","12667","413k","52.37m","12.68648k","2,242","1",
"27-Dec-2023","12226","12901","12226","12662","1m","139.38m","12.68211k","4,470","1",
"26-Dec-2023","0","0","0","12489","0","0","0","0","1",
"25-Dec-2023","0","0","0","12489","0","0","0","0","1",
"22-Dec-2023","12488","12539","12137","12489","223k","27.79m","12.46375k","1,043","1",
"21-Dec-2023","12152","12345","12112","12284","2m","258.4m","12.13282k","2,015","1",
"20-Dec-2023","12057","12271","12057","12269","373k","45.53m","12.19541k","2,668","1",
"19-Dec-2023","12187","12297","12123","12155","368k","44.78m","12.1823k","2,064","1",
"18-Dec-2023","12161","12326","12101","12162","590k","72.07m","12.2049k","2,737","1",
"15-Dec-2023","0","0","0","12360","0","0","0","0","1",
"14-Dec-2023","11731","12472","11731","12360","3m","315.89m","12.34187k","10,096","1",
"13-Dec-2023","11903","12047","11751","11980","2m","178.45m","11.93706k","3,888","1",
"12-Dec-2023","11828","12199","11780","11817","1m","122.55m","11.96251k","5,355","1",
"11-Dec-2023","11850","12067","11824","12067","785k","93.79m","11.9486k","4,200","1",
"08-Dec-2023","11754","11868","11577","11804","865k","101.93m","11.78185k","4,884","1",
"07-Dec-2023","11902","11902","11626","11670","528k","61.7m","11.68643k","1,990","1",
"06-Dec-2023","12092","12092","11784","11880","306k","36.3m","11.87553k","1,588","1",
"05-Dec-2023","12249","12259","12158","12227","485k","59.18m","12.20652k","2,496","1",
"04-Dec-2023","12395","12395","12166","12250","891k","109m","12.2386k","3,618","1",
"01-Dec-2023","12159","12298","12152","12247","734k","89.75m","12.23465k","2,528","1",
"30-Nov-2023","12270","12387","12220","12227","645k","79.14m","12.26689k","2,663","1",
"29-Nov-2023","12180","12294","12143","12276","439k","53.79m","12.24713k","2,554","1",
"28-Nov-2023","12283","12331","12160","12220","401k","49.12m","12.25266k","2,296","1",
"27-Nov-2023","12341","12480","12180","12268","494k","60.73m","12.28767k","2,967","1",
"24-Nov-2023","11901","12491","11901","12377","354k","43.89m","12.39775k","1,938","1",
"23-Nov-2023","12001","12258","11809","12202","523k","63.49m","12.14885k","2,338","1",
"22-Nov-2023","12011","12189","11909","11930","1m","149.42m","12.05052k","3,883","1",
"21-Nov-2023","12059","12102","11951","12076","739k","89.15m","12.05793k","3,245","1",
"20-Nov-2023","11991","12044","11925","11987","729k","87.43m","11.98805k","4,886","1",
"17-Nov-2023","11923","11986","11721","11944","1m","145.86m","11.91901k","3,178","1",
"16-Nov-2023","12099","12101","11688","11793","1m","148.18m","11.79658k","3,292","1",
"15-Nov-2023","11725","12170","11725","12049","1m","157.37m","12.08768k","3,805","1",
"14-Nov-2023","11496","11826","11490","11740","682k","79.7m","11.68671k","2,547","1",
"13-Nov-2023","11298","11481","11267","11445","421k","48.07m","11.40995k","1,873","1",
"10-Nov-2023","11352","11388","11154","11298","741k","83.41m","11.25406k","3,093","1",
"09-Nov-2023","11340","11555","11199","11381","569k","64.58m","11.34779k","7,443","1",
"08-Nov-2023","10728","11370","10728","11334","794k","88.69m","11.16635k","2,743","1",
