Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"10:01:52","1246","333","4,149","ASK","","296550","JSE",
"09:54:03","1245","333","4,146","ASK","","239790","JSE",
"09:42:26","1240","333","4,129","ASK","","197210","JSE",
"11:36:27","1246","330","4,112","BID","","906930","JSE",
"11:34:08","1246","328","4,087","ASK","","889380","JSE",
"10:26:29","1248","325","4,056","ASK","","492850","JSE",
"10:26:29","1248","324","4,044","ASK","","492920","JSE",
"11:34:08","1246","321","4,000","ASK","","889460","JSE",
"10:59:58","1248","320","3,994","ASK","","682920","JSE",
"11:00:01","1248","312","3,894","ASK","","683410","JSE",
"11:34:08","1246","312","3,888","ASK","","889510","JSE",
"11:34:08","1246","310","3,863","ASK","","889320","JSE",
"09:54:03","1245","306","3,810","ASK","","239810","JSE",
"10:26:29","1248","303","3,781","ASK","","492980","JSE",
"10:00:25","1247","300","3,741","BID","","274000","JSE",
"10:23:12","1248","299","3,732","BID","","466670","JSE",
"09:54:03","1245","299","3,723","ASK","","239890","JSE",
"10:26:29","1248","296","3,694","ASK","","492970","JSE",
"10:02:05","1246","295","3,676","ASK","","297570","JSE",
"11:34:08","1246","292","3,638","ASK","","889480","JSE",
"11:04:49","1247","290","3,616","ASK","","716490","JSE",
"14:09:42","1236","290","3,584","BID","","1707920","JSE",
"10:02:16","1246","287","3,576","ASK","","300060","JSE",
"11:34:08","1245","285","3,548","ASK","","889590","JSE",
"10:26:29","1248","284","3,544","ASK","","492900","JSE",
"11:34:08","1246","281","3,501","ASK","","889330","JSE",
"09:54:03","1245","279","3,474","ASK","","239850","JSE",
"10:26:29","1248","276","3,444","ASK","","492990","JSE",
"09:54:03","1245","275","3,424","ASK","","239910","JSE",
"09:54:03","1245","275","3,424","ASK","","239830","JSE",
"10:26:29","1248","271","3,382","ASK","","492940","JSE",
"10:26:29","1248","271","3,382","ASK","","492880","JSE",
"15:19:37","1228","272","3,340","BID","","2129910","JSE",
"10:02:16","1246","268","3,339","ASK","","300070","JSE",
"09:54:03","1245","267","3,324","ASK","","239870","JSE",
"10:26:29","1248","261","3,257","ASK","","493030","JSE",
"10:26:29","1248","261","3,257","ASK","","493010","JSE",
"10:33:26","1248","241","3,008","BID","","532030","JSE",
"14:39:28","1228","241","2,959","BID","","1871090","JSE",
"11:34:08","1245","237","2,951","-","","889640","JSE",
"11:34:08","1245","236","2,938","ASK","","889630","JSE",
"09:57:37","1245","235","2,926","ASK","","255210","JSE",
"14:57:30","1230","237","2,915","BID","","1990310","JSE",
"11:13:41","1249","233","2,910","BID","","779660","JSE",
"10:26:29","1248","233","2,908","-","","492960","JSE",
"11:29:41","1248","231","2,883","BID","","858900","JSE",
"14:20:14","1233","228","2,811","ASK","","1770320","JSE",
"14:26:03","1230","225","2,768","ASK","","1802210","JSE",
"15:33:36","1226","225","2,759","ASK","","2229750","JSE",
"12:56:38","1240","220","2,728","ASK","","1318870","JSE",
"11:58:45","1246","218","2,716","BID","","1035160","JSE",
"14:41:11","1228","221","2,714","ASK","","1881940","JSE",
"12:55:04","1242","217","2,695","ASK","","1312440","JSE",
"16:14:11","1223","220","2,691","ASK","","2541420","JSE",
"10:26:29","1248","211","2,633","ASK","","493060","JSE",
"15:16:17","1227","206","2,528","ASK","","2106560","JSE",
"14:09:42","1235","200","2,470","BID","","1707960","JSE",
"16:02:53","1231","200","2,462","BID","","2433280","JSE",
"14:34:42","1229","200","2,458","ASK","","1844730","JSE",
"10:02:05","1246","194","2,417","ASK","","297560","JSE",
"09:57:23","1248","193","2,409","BID","","253520","JSE",
"13:28:50","1242","191","2,372","BID","","1511890","JSE",
"11:21:55","1246","177","2,205","ASK","","818870","JSE",
"14:39:29","1229","177","2,175","BID","","1871320","JSE",
"11:34:08","1246","173","2,156","-","","889500","JSE",
"12:32:08","1245","172","2,141","-","","1188990","JSE",
"14:37:48","1228","174","2,137","ASK","","1862360","JSE",
"11:21:55","1246","170","2,118","ASK","","818860","JSE",
"15:38:39","1227.5","172","2,111","-","XT","2264650","JSE",
"11:34:08","1245","164","2,042","ASK","","889670","JSE",
"16:41:07","1229","165","2,028","BID","","2865530","JSE",
"10:01:00","1248","161","2,009","BID","","280280","JSE",
"15:19:37","1228","161","1,977","BID","","2129920","JSE",
"14:39:28","1228","159","1,953","BID","","1871080","JSE",
"13:29:05","1241","153","1,899","BID","","1512650","JSE",
"16:17:30","1220","154","1,879","ASK","","2574660","JSE",
"11:59:54","1246","150","1,869","BID","","1039050","JSE",
"15:46:50","1224","148","1,812","BID","","2320080","JSE",
"15:48:02","1223","135","1,651","ASK","","2329520","JSE",
"09:34:02","1237","133","1,645","ASK","","164720","JSE",
"11:43:44","1247","128","1,596","BID","","955390","JSE",
"15:39:40","1225","130","1,593","ASK","","2270260","JSE",
"12:55:43","1242","128","1,590","ASK","","1315140","JSE",
"11:34:08","1245","122","1,519","ASK","","889620","JSE",
"13:29:52","1240","109","1,352","BID","","1515410","JSE",
"10:23:18","1248","105","1,310","BID","","467260","JSE",
"11:11:09","1249","100","1,249","BID","","764620","JSE",
"11:29:45","1248","100","1,248","BID","","859470","JSE",
"10:23:00","1248","100","1,248","BID","","465400","JSE",
"10:00:29","1247","100","1,247","BID","","275450","JSE",
"09:56:37","1247","100","1,247","BID","","249550","JSE",
"12:33:21","1247","100","1,247","BID","","1195290","JSE",
"11:35:17","1246","100","1,246","BID","","898640","JSE",
"10:11:49","1245","100","1,245","BID","","383460","JSE",
"09:52:24","1245","100","1,245","BID","","230240","JSE",
"13:29:54","1240","100","1,240","BID","","1515620","JSE",
"13:34:06","1237","100","1,237","BID","","1533190","JSE",
"13:33:54","1237","100","1,237","BID","","1532460","JSE",
"10:01:32","1248","99","1,236","ASK","","289380","JSE",
"09:57:22","1247","99","1,235","ASK","","253330","JSE",
"09:57:18","1247","99","1,235","ASK","","252870","JSE",
"13:40:16","1234","100","1,234","BID","","1562410","JSE",
"13:40:16","1234","100","1,234","BID","","1562400","JSE",
"13:39:50","1234","100","1,234","BID","","1560380","JSE",
"14:33:38","1231","100","1,231","BID","","1840510","JSE",
"15:23:07","1230","100","1,230","BID","","2159940","JSE",
"15:22:05","1230","100","1,230","BID","","2150030","JSE",
"14:44:31","1229","100","1,229","BID","","1904150","JSE",
"14:39:29","1229","100","1,229","BID","","1871110","JSE",
"15:18:56","1228","100","1,228","BID","","2124440","JSE",
"15:18:55","1228","100","1,228","BID","","2124340","JSE",
"10:23:12","1248","96","1,198","BID","","466660","JSE",
"10:01:32","1248","96","1,198","ASK","","289400","JSE",
"10:01:32","1247","96","1,197","ASK","","289450","JSE",
"09:57:18","1247","96","1,197","ASK","","252940","JSE",
"10:30:00","1249","92","1,149","BID","","513960","JSE",
"09:57:18","1247","91","1,135","ASK","","252920","JSE",
"09:57:18","1247","90","1,122","ASK","","252900","JSE",
"09:57:18","1247","90","1,122","ASK","","252880","JSE",
"12:00:27","1246","85","1,059","BID","","1041100","JSE",
"12:32:08","1245","85","1,058","ASK","","1188950","JSE",
"16:35:46","1227","86","1,055","BID","","2777190","JSE",
"10:01:32","1248","83","1,036","ASK","","289420","JSE",
"09:57:28","1247","82","1,023","ASK","","253940","JSE",
"15:16:17","1227","82","1,006","ASK","","2106570","JSE",
"11:34:08","1246","80","997","-","","889450","JSE",
"10:02:00","1246","79","984","ASK","","297190","JSE",
"11:34:09","1242","76","944","ASK","","890270","JSE",
"12:00:27","1246","75","935","ASK","","1041110","JSE",
"11:34:09","1242","72","894","ASK","","890240","JSE",
"11:56:57","1244","67","833","ASK","","1025270","JSE",
"10:03:04","1241","66","819","ASK","","311460","JSE",
"11:34:09","1242","64","795","ASK","","890330","JSE",
"10:03:17","1241","62","769","ASK","","314470","JSE",
"11:34:08","1245","59","735","ASK","","889680","JSE",
"11:34:09","1242","54","671","ASK","","890100","JSE",
"10:33:26","1248","51","636","BID","","532020","JSE",
"10:26:29","1248","51","636","ASK","","493050","JSE",
"10:26:29","1248","51","636","ASK","","493040","JSE",
"10:26:29","1248","51","636","ASK","","492950","JSE",
"09:41:44","1244","49","610","BID","","195670","JSE",
"10:03:04","1241","48","596","ASK","","311450","JSE",
"11:34:09","1242","45","559","ASK","","890130","JSE",
"11:34:09","1242","43","534","ASK","","890380","JSE",
"11:34:08","1245","40","498","ASK","","889600","JSE",
"10:30:08","1244","34","423","ASK","","515230","JSE",
"10:03:17","1241","34","422","ASK","","314480","JSE",
"11:34:08","1245","32","398","-","","889700","JSE",
"10:59:28","1247","31","387","BID","","681050","JSE",
"11:34:08","1245","28","349","ASK","","889690","JSE",
"10:26:29","1248","27","337","-","","493000","JSE",
"11:34:08","1245","23","286","ASK","","889650","JSE",
"11:34:08","1245","22","274","ASK","","889660","JSE",
