Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"08-Feb-2024","204000","205947","201995","203800","216k","440.13m","203.49659k","6,193","1",
"07-Feb-2024","205500","207248","201494","204751","386k","789.38m","204.57383k","6,927","1",
"06-Feb-2024","203999","205162","201853","203961","614k","1.25b","203.08098k","9,292","1",
"05-Feb-2024","198155","203917","197178","200604","525k","1.06b","201.30353k","8,548","1",
"02-Feb-2024","196100","201972","196100","198764","210k","419.22m","199.96541k","5,489","1",
"01-Feb-2024","196772","199932","192623","199932","531k","1.05b","198.05159k","8,173","1",
"31-Jan-2024","201000","202834","198003","199800","333k","665.72m","199.73965k","4,773","1",
"30-Jan-2024","200621","201535","197495","200000","295k","588.84m","199.91563k","6,211","1",
"29-Jan-2024","205000","205430","198544","200370","277k","558.23m","201.54127k","5,824","1",
"26-Jan-2024","205000","205865","199764","205000","316k","646.38m","204.29858k","9,305","1",
"25-Jan-2024","202111","206562","202111","205000","179k","366.71m","204.87454k","3,742","1",
"24-Jan-2024","206100","210473","204298","204692","241k","495.04m","205.90613k","6,112","1",
"23-Jan-2024","204800","211165","204588","208662","169k","351.16m","208.21812k","5,798","1",
"22-Jan-2024","206007","208983","203652","204695","277k","570.75m","206.05472k","5,836","1",
"19-Jan-2024","205000","208932","204987","208423","296k","614.1m","207.81412k","6,713","1",
"18-Jan-2024","198500","208569","198500","206173","326k","668.35m","205.17011k","8,237","1",
"17-Jan-2024","198700","203105","197610","201760","300k","601.14m","200.60044k","6,181","1",
"16-Jan-2024","198949","205290","196660","202972","318k","645.06m","202.72032k","10,476","1",
"15-Jan-2024","200499","201621","195101","197162","214k","422.7m","197.59658k","4,676","1",
"12-Jan-2024","198282","201151","197445","200788","195k","389.4m","199.83044k","4,645","1",
"11-Jan-2024","196457","199937","196457","198412","155k","308.26m","198.66387k","3,513","1",
"10-Jan-2024","196000","197200","193991","197018","79k","155.08m","196.33197k","2,484","1",
"09-Jan-2024","194001","200018","194001","196300","145k","287.3m","198.27217k","6,332","1",
"08-Jan-2024","194555","199517","194555","199517","98k","193.58m","197.92534k","3,548","1",
"05-Jan-2024","198000","198000","193226","196559","108k","210.06m","195.12961k","3,196","1",
"04-Jan-2024","197001","201165","193591","194491","136k","266.79m","195.98018k","3,313","1",
"03-Jan-2024","201000","204159","197270","197841","119k","236.95m","198.43987k","3,922","1",
"02-Jan-2024","199200","204835","199199","201069","92k","186.22m","201.7925k","2,720","1",
"01-Jan-2024","0","0","0","202636","0","0","0","0","1",
"29-Dec-2023","203000","203999","200439","202636","99k","200.92m","202.81417k","2,057","1",
"28-Dec-2023","202301","203456","199879","200505","101k","204.15m","201.37294k","3,675","1",
"27-Dec-2023","193981","202500","193981","199796","203k","406.19m","199.81138k","5,883","1",
"26-Dec-2023","0","0","0","198500","0","0","0","0","1",
"25-Dec-2023","0","0","0","198500","0","0","0","0","1",
"22-Dec-2023","190500","199296","189935","198500","113k","224.45m","197.81825k","2,952","1",
"21-Dec-2023","188900","192977","188030","192544","520k","982.47m","189.00946k","2,891","1",
"20-Dec-2023","191671","193000","189506","191588","221k","422.3m","191.18803k","5,719","1",
"19-Dec-2023","188100","191871","187633","189734","166k","314.47m","189.0134k","4,596","1",
"18-Dec-2023","195386","196435","187879","188886","378k","719.94m","190.25829k","10,318","1",
"15-Dec-2023","0","0","0","195878","0","0","0","0","1",
"14-Dec-2023","187100","197236","187100","195878","706k","1.37b","195.06194k","11,325","1",
"13-Dec-2023","190000","192080","187335","189992","276k","524.53m","190.14266k","6,767","1",
"12-Dec-2023","189100","196358","188669","190049","261k","499.4m","191.22739k","6,839","1",
"11-Dec-2023","190721","195901","189655","194014","201k","386.04m","192.53557k","5,869","1",
"08-Dec-2023","193481","195491","192023","193281","566k","1.1b","193.76488k","13,951","1",
"07-Dec-2023","192222","195419","190667","194823","338k","655.89m","194.30201k","8,458","1",
"06-Dec-2023","191948","196256","190810","195267","381k","740.34m","194.16153k","11,008","1",
"05-Dec-2023","191000","196115","190513","191972","244k","469.75m","192.40588k","5,276","1",
"04-Dec-2023","194799","195370","192262","194316","238k","461.32m","193.93411k","5,212","1",
"01-Dec-2023","195000","197657","192500","195443","301k","587.63m","194.9059k","6,517","1",
"30-Nov-2023","194501","198170","194501","196071","400k","785.13m","196.25811k","5,417","1",
"29-Nov-2023","197999","198548","195000","196037","218k","427.01m","196.17002k","4,461","1",
"28-Nov-2023","195501","200000","195501","197497","167k","330.28m","198.22351k","4,267","1",
"27-Nov-2023","200000","201112","193573","197373","160k","316.66m","197.8972k","4,565","1",
"24-Nov-2023","193203","201576","193202","200000","209k","415.88m","199.42799k","4,775","1",
"23-Nov-2023","199500","199500","195921","196274","214k","422.59m","197.17405k","5,360","1",
"22-Nov-2023","189000","199900","189000","197235","192k","379.01m","197.04742k","5,825","1",
"21-Nov-2023","193550","199315","191509","198422","255k","502.5m","197.2275k","7,905","1",
"20-Nov-2023","192709","197345","192126","196389","195k","380.91m","195.53103k","4,338","1",
"17-Nov-2023","192890","196622","192622","195780","230k","448.9m","194.81k","6,422","1",
"16-Nov-2023","197900","200000","194740","195320","395k","777.77m","196.89913k","9,021","1",
"15-Nov-2023","193501","200821","193501","199008","295k","586.97m","199.07884k","8,308","1",
"14-Nov-2023","192400","196995","191565","195500","255k","496.53m","194.71765k","6,421","1",
"13-Nov-2023","187501","194943","187501","192413","302k","583.47m","193.07348k","6,764","1",
"10-Nov-2023","188497","193347","186922","191691","240k","459.98m","191.30558k","5,389","1",
"09-Nov-2023","191000","192533","187981","189100","353k","673.14m","190.09935k","7,156","1",
"08-Nov-2023","186600","192248","186582","191082","340k","647.58m","190.25832k","8,962","1",
"07-Nov-2023","185530","187932","184968","187500","482k","901.17m","187.01767k","13,965","1",
"06-Nov-2023","185400","189999","184732","188000","418k","781.59m","187.1608k","9,043","1",
"03-Nov-2023","176719","185496","175602","185496","481k","876.28m","182.36799k","10,086","1",
"02-Nov-2023","166995","176579","166266","175623","370k","640.4m","173.12715k","10,185","1",
"01-Nov-2023","163856","166813","163146","166021","235k","388.32m","165.45566k","5,270","1",
"31-Oct-2023","166999","167078","164699","165489","201k","332.88m","165.65378k","4,783","1",
"30-Oct-2023","164503","166034","163881","165225","166k","274.06m","165.18753k","2,801","1",
"27-Oct-2023","162200","166000","162200","163979","179k","293.21m","164.16692k","4,134","1",
"26-Oct-2023","161601","167573","161601","165772","270k","447.02m","164.89826k","6,785","1",
"25-Oct-2023","169001","170010","167205","168500","171k","288.19m","168.61525k","5,768","1",
"24-Oct-2023","169439","169930","167345","169200","128k","215.08m","168.53789k","4,002","1",
"23-Oct-2023","165100","169097","162654","168620","195k","326.95m","167.26511k","5,523","1",
"20-Oct-2023","172900","172900","166110","166600","182k","304.66m","167.0085k","5,794","1",
"19-Oct-2023","170961","173510","170001","171368","158k","270.42m","171.2843k","4,767","1",
"18-Oct-2023","173953","174931","172362","173048","199k","345.07m","173.48636k","5,820","1",
"17-Oct-2023","173500","177078","172578","176413","229k","401.76m","175.61899k","6,815","1",
"16-Oct-2023","175030","176992","174020","176276","133k","234.16m","175.74661k","5,093","1",
"13-Oct-2023","176706","178488","175216","175674","207k","364.32m","176.02049k","5,392","1",
"12-Oct-2023","182000","182753","176400","178624","187k","334.78m","179.07429k","4,338","1",
"11-Oct-2023","182100","182766","177400","181002","375k","675.69m","180.19518k","9,417","1",
"10-Oct-2023","178500","185687","178497","183600","422k","775.16m","183.50715k","12,904","1",
"09-Oct-2023","177100","179906","175025","178000","279k","494.96m","177.57337k","6,853","1",
"06-Oct-2023","174972","177927","173747","177595","207k","364.99m","176.47169k","7,600","1",
"05-Oct-2023","173000","174984","169904","174972","233k","402.43m","172.69952k","7,974","1",
"04-Oct-2023","172000","174230","170490","173896","273k","471.1m","172.66718k","8,869","1",
"03-Oct-2023","171689","174775","167649","173083","263k","455m","172.98044k","7,666","1",
"02-Oct-2023","171700","172888","167867","169789","227k","385.93m","169.89806k","6,678","1",
"29-Sep-2023","178000","178000","170254","171633","281k","483.91m","172.36456k","6,499","1",
"28-Sep-2023","163900","180000","163900","175148","580k","1.01b","174.64276k","14,724","1",
"27-Sep-2023","164987","168900","163923","164563","191k","318.02m","166.14547k","6,406","1",
"26-Sep-2023","163000","168254","160505","167147","213k","354.67m","166.2457k","5,275","1",
"25-Sep-2023","0","0","0","168361","0","0","0","0","1",
"22-Sep-2023","170925","171342","167935","168361","143k","241.81m","168.79426k","4,735","1",
"21-Sep-2023","169501","171198","163545","170067","530k","893.78m","168.53562k","4,628","1",
"20-Sep-2023","166825","172942","166825","172090","186k","319.03m","171.2867k","5,190","1",
"19-Sep-2023","166252","171444","166252","169500","179k","302.99m","169.53735k","5,731","1",
