Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"28-Jul-2023","18877","18892","18666","18850","1m","273.97m","18.82623k","3,857","1",
"27-Jul-2023","18526","18860","18351","18842","5m","908.27m","18.76808k","7,380","1",
"26-Jul-2023","18400","18570","18230","18525","2m","445.29m","18.43656k","4,826","1",
"25-Jul-2023","18269","18425","18131","18239","4m","755.48m","18.26911k","8,829","1",
"24-Jul-2023","18027","18270","17887","18254","2m","308.17m","18.16409k","4,323","1",
"21-Jul-2023","17978","18079","17833","17992","1m","195.44m","17.98608k","3,641","1",
"20-Jul-2023","17950","18100","17776","17975","4m","630m","17.94362k","7,919","1",
"19-Jul-2023","18146","18185","17976","18045","3m","457.72m","18.05807k","6,485","1",
"18-Jul-2023","18199","18237","17976","18025","4m","736.14m","18.05131k","10,114","1",
"17-Jul-2023","17406","18202","17406","18150","5m","887.76m","18.06819k","11,096","1",
"14-Jul-2023","17556","17938","17300","17804","6m","1.11b","17.72498k","13,730","1",
"13-Jul-2023","17250","17711","17088","17590","3m","457.18m","17.47402k","7,314","1",
"12-Jul-2023","16968","17341","16908","17275","3m","486.61m","17.20384k","9,478","1",
"11-Jul-2023","16961","17163","16845","16979","4m","601.67m","16.99731k","10,042","1",
"10-Jul-2023","16986","16986","16774","16848","2m","293.34m","16.864k","8,279","1",
"07-Jul-2023","17040","17040","16750","16990","3m","538.33m","16.9172k","9,914","1",
"06-Jul-2023","16901","17107","16742","16822","2m","365.96m","16.92288k","6,806","1",
"05-Jul-2023","17011","17227","16856","17126","3m","466.16m","17.05309k","8,711","1",
"04-Jul-2023","17242","17292","16900","17011","2m","306.9m","17.04088k","5,634","1",
"03-Jul-2023","16700","17187","16700","17183","4m","697.65m","17.1021k","9,658","1",
"30-Jun-2023","16700","16804","16572","16791","3m","459.9m","16.75359k","7,640","1",
"29-Jun-2023","16490","16618","16335","16545","4m","681.47m","16.50511k","9,044","1",
"28-Jun-2023","16250","16541","16243","16263","2m","280.06m","16.33667k","5,229","1",
"27-Jun-2023","16280","16391","16073","16295","2m","302.4m","16.23755k","6,297","1",
"26-Jun-2023","16299","16318","16076","16206","2m","277.24m","16.20934k","6,465","1",
"23-Jun-2023","16465","16465","15883","16137","4m","592.21m","16.04893k","9,664","1",
"22-Jun-2023","16600","16617","16181","16372","3m","430.65m","16.34067k","7,348","1",
"21-Jun-2023","16641","16800","16452","16556","4m","584m","16.5816k","9,540","1",
"20-Jun-2023","16766","17114","16766","16790","4m","718.29m","16.93314k","11,562","1",
"19-Jun-2023","16475","16870","16475","16838","3m","489.75m","16.7781k","7,221","1",
"16-Jun-2023","0","0","0","16775","0","0","0","0","1",
"15-Jun-2023","16560","16845","16384","16775","12m","1.98b","16.77003k","8,112","1",
