Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"30-Apr-2024","3124","3155","3028","3050","459k","14.23m","3.09923k","506","1",
"29-Apr-2024","3025","3123","3020","3050","821k","25.17m","3.05732k","329","1",
"26-Apr-2024","2966","3000","2960","3000","20k","584.05k","2.97482k","38","1",
"25-Apr-2024","3017","3023","2960","2960","8k","237.84k","2.96964k","40","1",
"24-Apr-2024","2961","3000","2948","2975","22k","659.95k","2.97168k","64","1",
"23-Apr-2024","3001","3002","2928","2960","36k","1.08m","2.96k","166","1",
"22-Apr-2024","2960","3025","2901","3025","89k","2.66m","2.98574k","131","1",
"19-Apr-2024","3001","3001","2915","2957","16k","484.75k","2.94076k","61","1",
"18-Apr-2024","2988","3025","2988","2991","22k","672.47k","2.99848k","60","1",
"17-Apr-2024","3078","3155","3000","3015","108k","3.26m","3.02267k","147","1",
"16-Apr-2024","3041","3076","2978","3076","42k","1.27m","3.01089k","69","1",
"15-Apr-2024","2940","2994","2904","2978","35k","1.03m","2.96391k","243","1",
"12-Apr-2024","3054","3054","2910","2940","60k","1.77m","2.96532k","229","1",
"11-Apr-2024","3061","3099","2968","2968","75k","2.24m","3.00815k","261","1",
"10-Apr-2024","3153","3154","3019","3115","78k","2.39m","3.07114k","155","1",
"09-Apr-2024","3050","3154","3050","3154","42k","1.33m","3.1382k","41","1",
"08-Apr-2024","3026","3110","3026","3085","52k","1.59m","3.0772k","75","1",
"05-Apr-2024","3030","3031","2987","3015","24k","709.84k","3.01471k","71","1",
"04-Apr-2024","2968","3097","2968","3026","68k","2.05m","3.02592k","71","1",
"03-Apr-2024","3045","3074","2951","3021","64k","1.93m","3.00069k","82","1",
"02-Apr-2024","3145","3145","2955","2955","50k","1.5m","2.99507k","99","1",
"01-Apr-2024","0","0","0","3091","0","0","0","0","1",
"29-Mar-2024","0","0","0","3091","0","0","0","0","1",
"28-Mar-2024","3056","3171","3056","3091","25k","786.16k","3.10929k","72","1",
"27-Mar-2024","3031","3100","2980","3076","147k","4.53m","3.05989k","134","1",
"26-Mar-2024","3152","3213","3060","3090","43k","1.34m","3.12355k","107","1",
"25-Mar-2024","3177","3206","3152","3200","71k","2.28m","3.1902k","84","1",
"22-Mar-2024","3071","3159","2955","3134","162k","5.05m","3.12k","140","1",
"21-Mar-2024","0","0","0","3031","0","0","0","0","1",
"20-Mar-2024","2950","3119","2950","3031","188k","5.65m","3.00916k","228","1",
"19-Mar-2024","2941","2989","2929","2967","89k","2.62m","2.9528k","105","1",
"18-Mar-2024","2850","2994","2850","2961","74k","2.19m","2.95276k","167","1",
"15-Mar-2024","2846","2972","2801","2972","155k","4.57m","2.95503k","67","1",
"14-Mar-2024","2852","2984","2852","2939","1m","39.5m","2.90068k","286","1",
"13-Mar-2024","2850","3000","2822","2958","202k","5.88m","2.91486k","215","1",
"12-Mar-2024","2845","2935","2784","2830","153k","4.35m","2.84416k","562","1",
"11-Mar-2024","2905","2943","2900","2900","438k","12.71m","2.90064k","258","1",
"08-Mar-2024","2990","2990","2851","2900","100k","2.91m","2.90735k","101","1",
"07-Mar-2024","2810","2940","2770","2902","197k","5.71m","2.89615k","120","1",
"06-Mar-2024","2702","2783","2702","2770","23k","630.36k","2.73438k","28","1",
"05-Mar-2024","2804","2804","2720","2737","24k","666.73k","2.75565k","84","1",
"04-Mar-2024","2863","2863","2744","2744","145k","4.09m","2.78167k","68","1",
"01-Mar-2024","2752","2819","2734","2800","39k","1.08m","2.77997k","44","1",
"29-Feb-2024","2809","2848","2760","2800","29k","820.02k","2.80061k","53","1",
"28-Feb-2024","2742","2841","2702","2800","442k","12.38m","2.79778k","330","1",
"27-Feb-2024","2799","2799","2702","2702","1m","33.47m","2.746k","151","1",
"26-Feb-2024","2849","2850","2762","2762","27k","756.55k","2.80194k","42","1",
"23-Feb-2024","2788","2890","2788","2849","4k","115.31k","2.84849k","27","1",
"22-Feb-2024","2890","2890","2787","2890","7k","209.78k","2.8433k","26","1",
"21-Feb-2024","2856","2875","2795","2861","13k","371.99k","2.84704k","21","1",
"20-Feb-2024","2783","2849","2783","2800","1m","36.43m","2.81417k","69","1",
"19-Feb-2024","2782","2849","2782","2810","24k","680.86k","2.81721k","68","1",
"16-Feb-2024","2750","2847","2750","2800","2m","61.23m","2.78501k","180","1",
"15-Feb-2024","2870","2892","2750","2755","131k","3.66m","2.78928k","350","1",
"14-Feb-2024","2799","2890","2671","2866","294k","8.13m","2.75903k","257","1",
"13-Feb-2024","2766","2800","2750","2778","1m","39.02m","2.76629k","109","1",
"12-Feb-2024","2850","2850","2750","2850","88k","2.47m","2.81656k","133","1",
"09-Feb-2024","2907","2907","2850","2880","29k","817.36k","2.85093k","108","1",
"08-Feb-2024","2835","2851","2825","2850","39k","1.11m","2.84365k","59","1",
"07-Feb-2024","2985","2985","2830","2879","66k","1.89m","2.87554k","112","1",
"06-Feb-2024","2853","2917","2853","2880","31k","894.71k","2.8895k","87","1",
"05-Feb-2024","2980","2989","2906","2906","118k","3.51m","2.97675k","96","1",
"02-Feb-2024","2980","3000","2950","2980","93k","2.79m","2.98847k","217","1",
"01-Feb-2024","2982","3000","2966","2980","187k","5.58m","2.98143k","169","1",
"31-Jan-2024","2976","3000","2945","3000","62k","1.85m","2.9894k","112","1",
"30-Jan-2024","2902","3000","2899","3000","93k","2.76m","2.95711k","122","1",
"29-Jan-2024","2894","2904","2812","2855","15k","433.01k","2.85893k","24","1",
"26-Jan-2024","2811","2905","2811","2905","7k","206.3k","2.86053k","24","1",
"25-Jan-2024","2863","2865","2813","2852","113k","3.22m","2.85051k","274","1",
"24-Jan-2024","2751","2896","2751","2896","107k","3.05m","2.84426k","240","1",
"23-Jan-2024","2834","2834","2750","2800","59k","1.63m","2.76837k","183","1",
"22-Jan-2024","2887","2887","2700","2700","346k","9.62m","2.777k","230","1",
"19-Jan-2024","2799","2889","2750","2757","319k","8.91m","2.78784k","332","1",
"18-Jan-2024","2849","2849","2750","2800","20k","553.78k","2.7929k","128","1",
"17-Jan-2024","2802","2850","2750","2750","18k","509.67k","2.80407k","50","1",
"16-Jan-2024","2850","2850","2800","2850","12k","349.06k","2.80526k","81","1",
"15-Jan-2024","2818","2904","2816","2850","7k","204.75k","2.83977k","33","1",
"12-Jan-2024","2874","2909","2815","2909","26k","754.04k","2.86927k","72","1",
"11-Jan-2024","2867","2878","2823","2877","2k","66.63k","2.86463k","12","1",
"10-Jan-2024","2803","2864","2800","2820","9k","249.37k","2.81295k","27","1",
"09-Jan-2024","2775","2860","2775","2800","22k","620.91k","2.82464k","69","1",
"08-Jan-2024","2839","2839","2750","2750","10k","277.01k","2.76207k","60","1",
"05-Jan-2024","2839","2839","2767","2832","946","26.81k","2.83419k","6","1",
"04-Jan-2024","2800","2840","2706","2763","32k","884.43k","2.79009k","93","1",
"03-Jan-2024","2745","2806","2745","2790","21k","580.39k","2.79005k","8","1",
"02-Jan-2024","2659","2801","2658","2750","15k","397.78k","2.7281k","69","1",
"01-Jan-2024","0","0","0","2772","0","0","0","0","1",
"29-Dec-2023","2870","2870","2675","2772","24k","659.4k","2.76361k","71","1",
"28-Dec-2023","2788","2870","2787","2840","9k","255.39k","2.83449k","44","1",
"27-Dec-2023","2823","2835","2700","2788","46k","1.26m","2.76587k","151","1",
"26-Dec-2023","0","0","0","2822","0","0","0","0","1",
"25-Dec-2023","0","0","0","2822","0","0","0","0","1",
"22-Dec-2023","2876","2900","2800","2822","61k","1.75m","2.85598k","75","1",
"21-Dec-2023","2899","2899","2749","2749","76k","2.16m","2.83546k","64","1",
"20-Dec-2023","2870","2870","2796","2852","25k","692.66k","2.82279k","235","1",
"19-Dec-2023","2751","2915","2751","2899","44k","1.25m","2.862k","201","1",
"18-Dec-2023","2890","2912","2800","2800","18k","496.67k","2.8215k","31","1",
"15-Dec-2023","0","0","0","2879","0","0","0","0","1",
"14-Dec-2023","2680","2890","2680","2879","130k","3.72m","2.86431k","282","1",
"13-Dec-2023","2889","2889","2695","2709","31k","846.25k","2.75076k","101","1",
"12-Dec-2023","2873","2879","2750","2752","32k","878.15k","2.76471k","99","1",
"11-Dec-2023","2960","2967","2750","2750","53k","1.5m","2.83656k","312","1",
"08-Dec-2023","2807","2978","2807","2900","138k","4m","2.90206k","218","1",
"07-Dec-2023","2860","2860","2778","2778","4k","122.6k","2.79143k","24","1",
"06-Dec-2023","2890","2932","2822","2855","41k","1.16m","2.86867k","100","1",
"05-Dec-2023","2906","2950","2802","2866","266k","7.57m","2.85127k","137","1",
"04-Dec-2023","2705","2978","2705","2833","154k","4.33m","2.81787k","375","1",
"01-Dec-2023","2619","2704","2528","2700","88k","2.36m","2.68139k","141","1",
"30-Nov-2023","2651","2651","2576","2632","117k","3.06m","2.62635k","115","1",
"29-Nov-2023","2601","2634","2542","2634","355k","9.21m","2.59478k","260","1",
"28-Nov-2023","2675","2691","2563","2691","60k","1.57m","2.62629k","164","1",
"27-Nov-2023","2600","2600","2550","2583","56k","1.44m","2.59215k","106","1",
"24-Nov-2023","2600","2600","2577","2577","30k","770.92k","2.59838k","105","1",
"23-Nov-2023","2601","2684","2500","2629","314k","8.16m","2.59972k","297","1",
"22-Nov-2023","2701","2707","2610","2610","27k","705.21k","2.65878k","85","1",
"21-Nov-2023","2832","2835","2700","2725","276k","7.58m","2.74518k","336","1",
"20-Nov-2023","2794","2833","2748","2824","41k","1.14m","2.77648k","71","1",
"17-Nov-2023","2648","2829","2600","2744","572k","14.98m","2.7306k","261","1",
"16-Nov-2023","2604","2606","2571","2600","609k","15.84m","2.59168k","72","1",
"15-Nov-2023","2586","2651","2536","2560","174k","4.54m","2.60533k","266","1",
"14-Nov-2023","2502","2593","2502","2522","184k","4.67m","2.5394k","341","1",
"13-Nov-2023","2550","2550","2502","2502","62k","1.58m","2.53629k","277","1",
"10-Nov-2023","2539","2540","2500","2500","27k","683.57k","2.51042k","74","1",
"09-Nov-2023","2500","2631","2500","2515","153k","3.92m","2.55315k","197","1",
"08-Nov-2023","2605","2644","2523","2560","147k","3.8m","2.59623k","269","1",
"07-Nov-2023","2582","2650","2531","2531","35k","914.04k","2.57803k","104","1",
"06-Nov-2023","2574","2574","2493","2554","33k","841.07k","2.54593k","59","1",
"03-Nov-2023","2585","2595","2526","2526","86k","2.21m","2.57045k","168","1",
"02-Nov-2023","2574","2607","2560","2604","281k","7.25m","2.58904k","122","1",
"01-Nov-2023","2446","2574","2446","2564","53k","1.35m","2.529k","146","1",
"31-Oct-2023","2486","2495","2424","2442","52k","1.26m","2.44398k","81","1",
"30-Oct-2023","2451","2451","2371","2371","175k","4.18m","2.40177k","56","1",
"27-Oct-2023","2356","2474","2356","2433","909k","22.07m","2.40426k","93","1",
