Date,Open,High,Low,Close,Volume,Value,MktVWAP,Transactions,Adj. Factor
"02-Mar-2023","22711","23348","22699","22923","1m","308.36m","22.9942k","7,112","1",
"01-Mar-2023","23100","23620","23041","23374","1m","237.13m","23.39589k","4,669","1",
"28-Feb-2023","22800","23337","22800","23058","2m","530.94m","23.09339k","5,853","1",
"27-Feb-2023","23001","23197","22570","23079","2m","407.83m","23.0003k","6,516","1",
"24-Feb-2023","23500","23847","23000","23008","1m","318.6m","23.19712k","5,956","1",
"23-Feb-2023","23111","23852","23111","23738","2m","422.9m","23.69242k","6,483","1",
"22-Feb-2023","22920","23536","22920","23453","2m","457.63m","23.41829k","7,069","1",
"21-Feb-2023","23085","23252","22867","22978","1m","328.22m","23.05596k","5,664","1",
"20-Feb-2023","23090","23216","22986","23106","993k","229.44m","23.1083k","3,340","1",
"17-Feb-2023","22990","23368","22536","23086","1m","317.05m","23.07593k","4,113","1",
"16-Feb-2023","22500","23155","22500","22916","678k","155.54m","22.94809k","3,282","1",
"15-Feb-2023","22840","23200","22669","22917","1m","296.17m","22.88749k","5,751","1",
"14-Feb-2023","22610","23117","22610","22988","1m","242.1m","22.97643k","3,303","1",
"13-Feb-2023","22799","22915","22591","22915","1m","284.54m","22.81354k","3,860","1",
"10-Feb-2023","22901","23157","22386","22823","2m","350m","22.7526k","6,962","1",
"09-Feb-2023","23163","23400","23012","23205","945k","219.41m","23.22346k","4,461","1",
"08-Feb-2023","22902","23376","22902","23163","1m","245.39m","23.15648k","4,238","1",
"07-Feb-2023","23197","23404","22900","23140","1m","273.25m","23.10391k","4,744","1",
"06-Feb-2023","23490","23490","23122","23319","3m","626.37m","23.26889k","5,301","1",
"03-Feb-2023","23683","23708","23314","23475","2m","382.91m","23.48669k","5,665","1",
"02-Feb-2023","23400","23930","23134","23748","3m","683.9m","23.65981k","9,677","1",
"01-Feb-2023","22700","23532","22687","23420","4m","835.03m","23.2115k","9,348","1",
"31-Jan-2023","22698","22833","22377","22517","1m","259.84m","22.54155k","3,376","1",
"30-Jan-2023","22700","22833","22630","22833","1m","315.72m","22.77387k","4,456","1",
"27-Jan-2023","22600","22899","22438","22800","1m","279.25m","22.766k","4,698","1",
"26-Jan-2023","22488","22799","22282","22676","1m","327.99m","22.56963k","4,991","1",
"25-Jan-2023","22421","22627","22241","22339","2m","366.96m","22.34554k","4,180","1",
"24-Jan-2023","22450","22567","22211","22495","866k","194.1m","22.42043k","4,332","1",
"23-Jan-2023","21900","22586","21898","22481","2m","349.52m","22.4474k","6,913","1",
"20-Jan-2023","21499","21980","21463","21900","2m","426.08m","21.85929k","7,252","1",
"19-Jan-2023","21410","21790","21305","21533","2m","348.7m","21.49432k","9,188","1",
"18-Jan-2023","21300","21747","21264","21523","1m","293.72m","21.52332k","5,003","1",
"17-Jan-2023","21550","21693","21221","21304","1m","303.95m","21.34847k","5,322","1",
"16-Jan-2023","21549","21790","21480","21533","824k","177.95m","21.60613k","4,394","1",
"13-Jan-2023","21446","21695","21402","21550","1m","222.53m","21.55179k","5,374","1",
"12-Jan-2023","21202","21600","21154","21410","1m","243.6m","21.47491k","6,028","1",
"11-Jan-2023","21473","21495","21105","21189","1m","227.53m","21.23437k","3,602","1",
"10-Jan-2023","21310","21421","20903","21365","1m","227.77m","21.21569k","4,555","1",
"09-Jan-2023","21025","21590","21001","21495","1m","230.22m","21.44379k","6,634","1",
"06-Jan-2023","21300","21486","20729","20914","1m","242.98m","21.00695k","4,522","1",
"05-Jan-2023","21130","21612","21130","21371","2m","350.89m","21.44728k","7,587","1",
"04-Jan-2023","21315","21635","21249","21466","770k","165.26m","21.4743k","5,520","1",
"03-Jan-2023","21250","21583","20980","21496","683k","146.17m","21.41399k","3,946","1",
"02-Jan-2023","0","0","0","21258","0","0","0","0","1",
"30-Dec-2022","21112","21343","20985","21258","574k","121.84m","21.21526k","1,736","1",
"29-Dec-2022","21162","21279","20896","21277","512k","108.23m","21.1341k","2,349","1",
"28-Dec-2022","21481","21500","21229","21315","567k","121.02m","21.34721k","3,067","1",
"27-Dec-2022","0","0","0","21482","0","0","0","0","1",
"26-Dec-2022","0","0","0","21482","0","0","0","0","1",
"23-Dec-2022","20601","21588","20601","21482","636k","136.58m","21.4648k","2,573","1",
"22-Dec-2022","21400","21477","21152","21221","746k","158.83m","21.30072k","3,358","1",
"21-Dec-2022","21125","21419","21087","21374","838k","178.81m","21.33599k","4,497","1",
"20-Dec-2022","21171","21460","20972","21300","1m","228.58m","21.32816k","4,455","1",
"19-Dec-2022","20602","21502","20548","21331","2m","339.19m","21.23101k","9,537","1",
"16-Dec-2022","0","0","0","20548","0","0","0","0","1",
"15-Dec-2022","21000","21044","20336","20548","5m","1.1b","20.65263k","6,585","1",
"14-Dec-2022","21187","21434.5","20835","21050","2m","418.98m","21.08615k","10,539","1",
"13-Dec-2022","20743","21068","20575","21012","2m","346.95m","20.86813k","7,581","1",
"12-Dec-2022","21011","21427","20743","20743","2m","458.1m","20.96693k","8,922","1",
"09-Dec-2022","21975","21975","21060","21170","2m","341.92m","21.26918k","6,557","1",
"08-Dec-2022","21501","21747","21310","21376","927k","199.05m","21.47208k","4,359","1",
"07-Dec-2022","21900","21989","21443","21622","952k","205.76m","21.61046k","5,321","1",
"06-Dec-2022","21320","22097","21176","21900","2m","329.5m","21.87499k","9,829","1",
"05-Dec-2022","21000","21934","20999","21310","2m","345.83m","21.52295k","8,203","1",
"02-Dec-2022","21001","21577","20372","21011","3m","561.16m","21.08468k","14,638","1",
"01-Dec-2022","22800","22981","20581","20845","4m","932.79m","21.19896k","16,490","1",
"30-Nov-2022","22031","22905","22031","22843","2m","512.83m","22.79994k","5,797","1",
"29-Nov-2022","21951","23045","21951","22501","924k","208.08m","22.51677k","5,571","1",
"28-Nov-2022","22030","22960","22030","22824","975k","222.32m","22.79258k","6,629","1",
"25-Nov-2022","22021","22874","22021","22723","628k","142.34m","22.65174k","3,154","1",
"24-Nov-2022","22831","22848","22378.5","22467","492k","110.73m","22.5069k","2,379","1",
"23-Nov-2022","22795","23011.5","22673","22710","1m","253.57m","22.80297k","5,130","1",
"22-Nov-2022","22150","22837","22141","22682","982k","222.55m","22.65966k","6,805","1",
"21-Nov-2022","21915","22300","21915","22291","1m","240.73m","22.22362k","6,711","1",
